Date,Weekday,PublishTimePT,Pillar,Audience,Title,AssetType,LandingPath,UtmUrl,CTA,Status
2026-03-03,周二,08:30,案例拆解,全球创业者,全球创业者做 Shopify 最容易忽视的 3 个坑（附案例）,6页轮播图,/cases.html,https://nowgowest.com/cases.html?utm_source=xiaohongshu&utm_medium=social&utm_campaign=shopify_global_growth_2026q1&utm_content=day01_case,评论区回复「案例」领取同类型执行清单。,Drafted
2026-03-04,周三,12:30,避坑清单,跨境品牌团队,准备做独立站？这份 跨境品牌团队 避坑清单先存住,清单图 + 封面,/global-shopify-growth.html,https://nowgowest.com/global-shopify-growth.html?utm_source=xiaohongshu&utm_medium=social&utm_campaign=shopify_global_growth_2026q1&utm_content=day02_checklist,私信我「清单」，发你 20 项上线检查表。,Drafted
2026-03-05,周四,20:30,工具教程,Amazon 转型卖家,Amazon 转型卖家 冷启动 7 天执行表（每天做什么）,步骤图 + 示例截图,/guides.html,https://nowgowest.com/guides.html?utm_source=xiaohongshu&utm_medium=social&utm_campaign=shopify_global_growth_2026q1&utm_content=day03_playbook,需要模板的，留言「模板」我发你链接。,Drafted
2026-03-06,周五,08:30,转化优化,线下零售转线上团队,为什么你有流量却不出单？线下零售转线上团队 常见 4 个原因,前后对比图,/posts/shopify-checkout-cro-blueprint.html,https://nowgowest.com/posts/shopify-checkout-cro-blueprint.html?utm_source=xiaohongshu&utm_medium=social&utm_campaign=shopify_global_growth_2026q1&utm_content=day04_cro,想拿到你的站点诊断建议，点链接预约咨询。,Drafted
2026-03-07,周六,12:30,报价与服务,全球创业者,预算有限时，Shopify 项目应该先把钱花在哪？,报价卡片,/shopify-partner.html,https://nowgowest.com/shopify-partner.html?utm_source=xiaohongshu&utm_medium=social&utm_campaign=shopify_global_growth_2026q1&utm_content=day05_offer,不确定选哪档服务，评论区留预算我给建议。,Drafted
2026-03-08,周日,20:30,客户问答,跨境品牌团队,Shopify 咨询里被反复问到的问题，一次讲清楚,问答图,/consult.html,https://nowgowest.com/consult.html?utm_source=xiaohongshu&utm_medium=social&utm_campaign=shopify_global_growth_2026q1&utm_content=day06_faq,把你的实际情况发我，我给你 15 分钟快诊断建议。,Drafted
2026-03-09,周一,08:30,案例拆解,Amazon 转型卖家,Amazon 转型卖家做 Shopify 最容易忽视的 3 个坑（附案例）,6页轮播图,/cases.html,https://nowgowest.com/cases.html?utm_source=xiaohongshu&utm_medium=social&utm_campaign=shopify_global_growth_2026q1&utm_content=day07_case,评论区回复「案例」领取同类型执行清单。,Drafted
2026-03-10,周二,12:30,避坑清单,线下零售转线上团队,准备做独立站？这份 线下零售转线上团队 避坑清单先存住,清单图 + 封面,/global-shopify-growth.html,https://nowgowest.com/global-shopify-growth.html?utm_source=xiaohongshu&utm_medium=social&utm_campaign=shopify_global_growth_2026q1&utm_content=day08_checklist,私信我「清单」，发你 20 项上线检查表。,Drafted
2026-03-11,周三,20:30,工具教程,全球创业者,全球创业者 冷启动 7 天执行表（每天做什么）,步骤图 + 示例截图,/guides.html,https://nowgowest.com/guides.html?utm_source=xiaohongshu&utm_medium=social&utm_campaign=shopify_global_growth_2026q1&utm_content=day09_playbook,需要模板的，留言「模板」我发你链接。,Drafted
2026-03-12,周四,08:30,转化优化,跨境品牌团队,为什么你有流量却不出单？跨境品牌团队 常见 4 个原因,前后对比图,/posts/shopify-checkout-cro-blueprint.html,https://nowgowest.com/posts/shopify-checkout-cro-blueprint.html?utm_source=xiaohongshu&utm_medium=social&utm_campaign=shopify_global_growth_2026q1&utm_content=day10_cro,想拿到你的站点诊断建议，点链接预约咨询。,Drafted
2026-03-13,周五,12:30,报价与服务,Amazon 转型卖家,预算有限时，Shopify 项目应该先把钱花在哪？,报价卡片,/shopify-partner.html,https://nowgowest.com/shopify-partner.html?utm_source=xiaohongshu&utm_medium=social&utm_campaign=shopify_global_growth_2026q1&utm_content=day11_offer,不确定选哪档服务，评论区留预算我给建议。,Drafted
2026-03-14,周六,20:30,客户问答,线下零售转线上团队,Shopify 咨询里被反复问到的问题，一次讲清楚,问答图,/consult.html,https://nowgowest.com/consult.html?utm_source=xiaohongshu&utm_medium=social&utm_campaign=shopify_global_growth_2026q1&utm_content=day12_faq,把你的实际情况发我，我给你 15 分钟快诊断建议。,Drafted
2026-03-15,周日,08:30,案例拆解,全球创业者,全球创业者做 Shopify 最容易忽视的 3 个坑（附案例）,6页轮播图,/cases.html,https://nowgowest.com/cases.html?utm_source=xiaohongshu&utm_medium=social&utm_campaign=shopify_global_growth_2026q1&utm_content=day13_case,评论区回复「案例」领取同类型执行清单。,Drafted
2026-03-16,周一,12:30,避坑清单,跨境品牌团队,准备做独立站？这份 跨境品牌团队 避坑清单先存住,清单图 + 封面,/global-shopify-growth.html,https://nowgowest.com/global-shopify-growth.html?utm_source=xiaohongshu&utm_medium=social&utm_campaign=shopify_global_growth_2026q1&utm_content=day14_checklist,私信我「清单」，发你 20 项上线检查表。,Drafted
2026-03-17,周二,20:30,工具教程,Amazon 转型卖家,Amazon 转型卖家 冷启动 7 天执行表（每天做什么）,步骤图 + 示例截图,/guides.html,https://nowgowest.com/guides.html?utm_source=xiaohongshu&utm_medium=social&utm_campaign=shopify_global_growth_2026q1&utm_content=day15_playbook,需要模板的，留言「模板」我发你链接。,Drafted
2026-03-18,周三,08:30,转化优化,线下零售转线上团队,为什么你有流量却不出单？线下零售转线上团队 常见 4 个原因,前后对比图,/posts/shopify-checkout-cro-blueprint.html,https://nowgowest.com/posts/shopify-checkout-cro-blueprint.html?utm_source=xiaohongshu&utm_medium=social&utm_campaign=shopify_global_growth_2026q1&utm_content=day16_cro,想拿到你的站点诊断建议，点链接预约咨询。,Drafted
2026-03-19,周四,12:30,报价与服务,全球创业者,预算有限时，Shopify 项目应该先把钱花在哪？,报价卡片,/shopify-partner.html,https://nowgowest.com/shopify-partner.html?utm_source=xiaohongshu&utm_medium=social&utm_campaign=shopify_global_growth_2026q1&utm_content=day17_offer,不确定选哪档服务，评论区留预算我给建议。,Drafted
2026-03-20,周五,20:30,客户问答,跨境品牌团队,Shopify 咨询里被反复问到的问题，一次讲清楚,问答图,/consult.html,https://nowgowest.com/consult.html?utm_source=xiaohongshu&utm_medium=social&utm_campaign=shopify_global_growth_2026q1&utm_content=day18_faq,把你的实际情况发我，我给你 15 分钟快诊断建议。,Drafted
