Category,Checklist Item,Owner,Status,Notes
Channel Strategy,Target channel shortlist (2-3 channels),,,
Channel Strategy,Category-fit and margin model review,,,
Company Docs,Business registration and tax documents ready,,,
Company Docs,Brand authorization and trademark documents,,,
Product Docs,SKU spec sheet and barcode mapping,,,
Product Docs,Packaging and compliance documentation,,,
Pricing,Wholesale pricing tiers and MOQ finalized,,,
Pricing,Payment terms and return policy defined,,,
Logistics,Warehousing and fulfillment SLA confirmed,,,
Logistics,Shipping lead time and cost model prepared,,,
Listing,Product titles, bullets, and media assets ready,,,
Listing,Inventory sync and replenishment rule setup,,,
Launch,Go-live date and first-month KPI target set,,,
Optimization,Weekly dashboard for traffic/CVR/orders,,,
Optimization,Low-performing SKU iteration plan,,,
